BASIC INDUSTRIES	2009	3.482900	GURE	709.722200	FCX	9141685400
BASIC INDUSTRIES	2010	21.790000	BLD	519.802000	FCX	6891808600
BASIC INDUSTRIES	2011	-58.600800	ROAD	188.704300	FCX	5150807800
BASIC INDUSTRIES	2012	-68.788500	PATK	261.860500	VALE	4659766700
BASIC INDUSTRIES	2013	10.322600	XRM	416.927900	VALE	4428233700
BASIC INDUSTRIES	2014	-71.902100	BLD	884.600000	VALE	5660183200
BASIC INDUSTRIES	2015	-48.101200	SUM	35191.629800	FCX	7286761300
BASIC INDUSTRIES	2016	13.829400	TECK	451.790600	FCX	10464699500
BASIC INDUSTRIES	2017	15.279000	OPNT	310.178600	VALE	7023267600
BASIC INDUSTRIES	2018	-3.079500	XRM	213.817300	VALE	3710091900
CAPITAL GOODS	2009	28.727200	NFEC	1900.000100	F	19263087300
CAPITAL GOODS	2010	21.218000	WNC	513.989700	F	23799936100
CAPITAL GOODS	2011	-12.430600	NEON	171.428600	F	17822274500
CAPITAL GOODS	2012	17.316800	HOVNP	851.049000	F	11343885200
CAPITAL GOODS	2013	34.500600	WLH	470.985900	F	10142466600
CAPITAL GOODS	2014	4.343700	GRBK	617.849900	F	7863305300
CAPITAL GOODS	2015	-1.802200	RUN	78366.671500	F	6985340900
CAPITAL GOODS	2016	18.592900	SID	251.087000	F	8985684000
CAPITAL GOODS	2017	34.341000	OLED	201.046200	F	9293424500
CAPITAL GOODS	2018	-1.456500	RFIL	341.509400	F	6925457600
CONSUMER DURABLES	2009	39.051000	SNBR	2407.692400	GT	1413734100
CONSUMER DURABLES	2010	-18.720100	CDXC	202.222200	GT	1166762400
CONSUMER DURABLES	2011	-37.054700	NHTC	441.666700	GT	1739413700
CONSUMER DURABLES	2012	17.860300	HDSN	151.034500	GT	1430966900
CONSUMER DURABLES	2013	-42.154000	SGLB	1184.722200	GT	1069123300
CONSUMER DURABLES	2014	-17.409600	EFOI	995.555500	GT	1005051200
CONSUMER DURABLES	2015	-11.993100	NHTC	195.940000	GT	869533400
CONSUMER DURABLES	2016	16.039500	HDSN	169.697000	GPK	925163400
CONSUMER DURABLES	2017	10.394900	AGS	14061.765000	GPK	958590100
CONSUMER DURABLES	2018	7.594100	HEAR	1394.382100	GPK	551091500
CONSUMER NON-DURABLES	2009	30.260300	PPC	1208.823500	KO	5625709800
CONSUMER NON-DURABLES	2010	19.835800	BREW	202.868800	KO	5183228600
CONSUMER NON-DURABLES	2011	-2.050900	RAVE	187.958100	KO	4589791800
CONSUMER NON-DURABLES	2012	14.437500	SQBG	455.555600	KO	3797096700
CONSUMER NON-DURABLES	2013	26.607000	SVU	191.600000	KO	3634684700
CONSUMER NON-DURABLES	2014	5.212700	MGPI	196.448600	KO	3858442800
CONSUMER NON-DURABLES	2015	-4.978100	CELH	331.111100	ABEV	3911280500
CONSUMER NON-DURABLES	2016	7.339500	NBEV	963.365200	ABEV	4179558700
CONSUMER NON-DURABLES	2017	-1.350000	RADA	150.406500	ABEV	5156322400
CONSUMER NON-DURABLES	2018	7.474900	DFBG	367.000000	ABEV	4241614900
CONSUMER SERVICES	2009	95.060900	CAR	1649.333300	SIRI	12672061700
